,num,lang,hisco,occupation
97,101,Catalan,17320,Actor
98,102,Spanish,17320,Actor
99,103,French,17320,Actrice
100,104,French,08250*,Actuaire
101,107,Portugese,64130,Açudar
102,108,Portugese,41030,Adela
103,109,Danish,-1,Adelig
104,110,French,21940,Adjoint administratif
105,111,French,31010,adjoint administratif
106,112,French,31030,adjoint au bureau des contributions
107,113,French,20110*,Adjoint au maire
108,115,French,20110,adjoint au maire d'espagnac(19)
109,116,French,20110,adjoint au maire de lyon
110,117,French,20110,adjoint au maire du 4e
111,118,French,20110*,Adjoint au maire et Cultivateur
112,120,French,20110*,Adjoint au maire et Propriétaire
113,122,French,30000,adjoint au service économique du collège de roanne
114,123,French,39340,Adjoint au tribunal
115,124,French,99999,adjoint aux cadres
116,125,French,58330,adjoint chef (au 83e bataillon de tirailleurs sénégalais)
117,126,French,11010,adjoint chef comptable
118,127,French,13000,adjoint d'enseignement
119,128,French,99999,adjoint de direction
120,129,French,58220,adjoint de gendarmerie
121,130,French,99999,adjoint de marine en retraite
122,131,French,99999,adjoint des cadres hospitaliers
123,132,French,99999,adjoint divisionnaire
124,133,French,77310,adjoint en boucherie
125,134,French,20110,adjoint en mairie
126,135,French,20110*,Adjoint et Propriétaire
127,137,French,20110*,Adjoint municipal
128,139,French,30000,adjoint principal au cadastre
129,140,French,03530,adjoint technicien de l'aviation
130,141,French,99999,adjoint technique
131,142,French,99999,adjoint technique chef
132,143,French,31090,adjoint technique des ponts et chaussées
133,144,French,20110,adjoint technique en mairie
134,145,French,13020,adjointe d'enseignement
135,146,Danish,58320,Adjudant
136,147,French,58330*,Adjudant
137,150,French,58330,adjudant (152 ri)
138,151,French,58330,adjudant (au 1er r a)
139,152,French,58330,adjudant (au 26e régiment)
140,153,French,58330,adjudant (au 29e )
141,154,French,58330,adjudant (au 2ème régiment de chasseur d'afrique)
142,155,French,58330,adjudant (au 34e ra)
143,156,French,58330,adjudant (au 35 r a)
144,157,French,58330,adjudant (au 36eme régiment)
145,158,French,58330,adjudant (au 3e rima)
146,159,French,58330,adjudant (au 56e ri)
147,160,French,58330,adjudant (au 65e regiment d'infanterie)
148,161,French,58330,adjudant (au 65eme bataillon de chars de combat)
149,162,French,58330,adjudant (au 72e ri)
150,163,French,58330,adjudant (au 78 reg d'inf)
151,164,French,58330*,Adjudant chef
152,166,French,58330,adjudant chef d'artillerie en retraite
153,167,French,58330,adjudant chef d'infanterie
154,168,French,58330,adjudant chef d'intendance
155,169,French,58220,adjudant chef de gendarmerie
156,170,French,58220,adjudant chef de police
157,171,French,31040,adjudant chef des douanes
158,172,French,58330,adjudant chef e m artillerie
159,173,French,58330,adjudant chef infanterie
160,174,French,58330,adjudant d'administration
161,175,French,58330*,Adjudant d'artillerie
162,177,French,58330,adjudant d'aviation
163,178,French,58300,adjudant d'intendance coloniale
164,179,French,58220,Adjudant de gendarmerie
165,180,French,58320,adjudant de gendarmerie
166,181,French,58320,adjudant de gendarmerie en retraite
167,182,French,58320,adjudant de la gendarmerie mobile
168,183,French,58300,adjudant de place
169,184,French,31040,adjudant des douanes
170,185,French,58300,adjudant en chef du district
171,186,French,58330,adjudant en retraite
172,187,French,58330,adjudant général
173,188,French,58330*,Adjudant instructeur
174,190,French,58330,Adjudant invalide
175,191,French,58330,adjudant mobilisé
176,192,French,58330,adjudant sapeur pompier
177,193,French,58330*,Adjudant vaguemestre
178,195,Dutch,30000,Adjunct commies
179,196,Dutch,30000,adjunct commies 2e klasse
180,197,Dutch,30000,adjunct commies ter secretarie
181,198,Dutch,21990,adjunct directeur der maatschappij
182,199,Dutch,22240,Adjunct inspecteur bij de staatsspoorwegmaatschappij
183,200,Dutch,11010*,Adjunct-accountant
184,202,Dutch,30000,adjunct-commies
185,203,Dutch,30000,Adjunct-commies te secretarie
186,204,Dutch,30000,adjunct-commies ter secretarie dezer gemeente
187,205,Dutch,22210,Adjunct-stationschef
188,206,Dutch,30000,adjunctcommies
189,207,Norwegian,13030,Adjunkt
190,208,Swedish,13030,Adjunkt
191,209,Danish,13100,Adjunkt
192,210,Swedish,14120,Adjunkt
193,211,Swedish,14120,Adjunkt minister
194,212,German,51000,Adlerwirt
195,213,Catalan,31000,Administració Pública
196,214,Spanish,31000,Administració Pública
197,215,Portugese,21000,Administrador
198,216,Portugese,21220,Administrador (têxteis)
199,217,Portugese,21230,Administrador agrícola
200,218,Portugese,31000,Administrador da câmara
201,219,Portugese,21110,Administrador da Mesa  dos Azeites
202,220,Portugese,21230,Administrador de Casa
203,221,Spanish,22220,Administrador de Correos y Telégrafos
204,222,Catalan,22220,Administrador de Correus i Telègrafs
205,223,Portugese,21230,Administrador de Fazendas Rurais
206,224,Portugese,21200,Administrador de madeiras no Arsenal
207,225,Portugese,31000,Administrador do Concelho
208,226,Catalan,44130,Administrador Finques
209,227,Catalan,20210,Administrador Públic
210,228,Spanish,22440,Administradora
211,229,French,20210,Administrateur
212,230,Dutch,20210,Administrateur
213,231,French,20210*,Administrateur
214,233,French,21940,Administrateur
215,234,Dutch,21940,Administrateur
216,235,French,21940,Administrateur
217,236,French,20210,administrateur à l'assemblée nationale
218,237,French,20210,administrateur adjoint
219,238,French,20210,administrateur chef des affaires maritimes
220,239,French,20210,administrateur civil
221,240,French,20210,administrateur colonial en retraite
222,241,French,21300,administrateur commercial
223,242,French,21940,administrateur d'immeubles
224,243,French,21940,administrateur de biens
225,244,French,20210,administrateur de commune mixte
226,245,French,20210*,administrateur de commune mixte détaché à la préfecture d'or
227,247,French,21940,administrateur de l'école polytechnique
228,248,French,20210,administrateur de l'enregistrement
229,249,French,20210,administrateur de l'inscription
230,250,French,20210,administrateur de l'inscription maritime
231,251,French,20210,administrateur de la france d'outremer en retraite
232,252,French,21940,administrateur de la samaritaine
233,253,French,21000,administrateur de sociétés
234,254,French,20210,administrateur des colonies
235,255,French,20210,administrateur des colonies en retraite
236,256,French,21940,administrateur des hospices
237,257,French,20210,administrateur des messageries maritimes
238,258,French,20210,administrateur des services civils honoraires
239,259,Dutch,20210,administrateur mil.bakkerij
240,260,French,21940,administrateur ptt
241,261,German,20210,Administrator
242,262,Danish,21000,Administrator
243,263,German,21940,Administrator
244,264,French,21940,administratrice de sociétés
245,265,Danish,21000,Administrerende Direktør
246,266,Norwegian,21110,Administrerende direktør
247,267,Danish,58320,Admiral
248,268,Spanish,44130,Admisntrador Fincas
249,269,Spanish,20210,Admisntrador Público
250,270,Portugese,21340,Admnistrador  de venda de louça da Fábrica
251,271,Portugese,21230,Admnistrador da Casa do  Marquês de Minas
252,272,Spanish,76145,Adobador
253,273,Catalan,76145,Adobaire
254,274,Catalan,76145,Adober
255,275,Catalan,95160,Adoquinador
256,276,Spanish,95160,Adoquinador
257,277,Catalan,82080,Adornista
258,278,Spanish,82080,Adornista
259,279,Catalan,41030,Adroguer
260,280,Dutch,37090,adsistent aan het postkantoor te
261,281,Dutch,12110,Advocaat
262,282,Dutch,12110,advocaat en @procureur
263,283,Dutch,12110,Advocaat en notaris
264,284,Dutch,12110,Advocaat en procureur
265,285,Catalan,12110,Advocat
266,286,French,12410,Advocat avoué
267,287,Portugese,12110,Advogado
268,288,Dutch,12110,advokaat
269,289,German,12110,Advokat
270,290,Swedish,12110*,Advokat
271,292,Danish,12110,Advokat
272,293,Swedish,12110,Advokatbiträde
273,294,Swedish,12110,Advokatfiskal
274,295,Swedish,12110,Advokatfiskalänka
275,296,Swedish,12110,Advokathustru
276,297,Swedish,12110,Advokatänka
277,298,Greek,-2,AERGOS
278,299,French,89550,Aérographieuse
279,300,Swedish,04125,Aeronaut
280,301,Danish,62105,Afbygger
281,302,Portugese,39380,Aferidor
282,303,Portugese,39380,Aferidor de pesos e medidas
283,304,French,59990*,Afficheur
284,306,French,59990,afficheur municipal
285,307,Swedish,45190,Affischör
286,308,French,62400,affranchisseur de bestiaux
287,309,French,99999,affreteur
288,310,French,83530*,Affuteur
289,312,French,83530,affuteur aiguiseur
290,313,French,83530,affuteur outilleur
291,314,Swedish,45130*,Affärsbiträde
292,316,Swedish,21300,Affärschef
293,317,Swedish,45130,Affärsdräng
294,318,Swedish,41030,Affärsföreståndare
295,319,Swedish,41030,Affärsföreståndareänka
296,320,Swedish,41030,Affärsförestånderska
297,321,Swedish,43200,Affärsförmedlare
298,322,Swedish,41030,Affärsidkerska
299,323,Swedish,41030,Affärsinnehaverska
300,324,Swedish,41025,Affärsman
301,325,Swedish,43200,Affärsmäklare
302,326,Portugese,39380,Afilador
303,327,Spanish,83530,Afilador
304,328,Spanish,83540,Afilador
305,329,Portugese,39380,Afilador de porcas
306,330,Portugese,84970,Afinador
307,331,Portugese,84945,Afinador de Teares
308,332,Danish,-1,Aflægs
309,333,Danish,-1,Afsindig
310,334,Danish,-1,Afskediget
311,335,Danish,58340,Afskediget Husar
312,336,Danish,58340,Afskediget Landsoldat
313,337,Danish,98135,Afskediget Matros
314,338,Danish,58340,Afskediget Rytter
315,339,Danish,58340,Afskediget Soldat
316,340,Danish,-1,Aftægtsfolk
317,341,Danish,88030,Agatsliber
318,342,Danish,41020,Agent
319,343,German,43200,Agent
320,344,Norwegian,43200,Agent
321,345,Swedish,43200,Agent
322,346,Norwegian,44100,Agent
323,347,Swedish,44100,Agent
324,348,French,58220,agent
325,349,French,99999*,Agent
326,351,English,99999,Agent
327,352,French,99999,agent à egf
328,353,French,99999,agent à l'edf
329,354,French,99900,agent à l'éducation nationale
330,355,French,99999,agent à l'ortf
331,356,French,99999,agent à la compagnie générale des matières nucléaires
332,357,French,99999,agent à la cpde
333,358,French,33170,agent à la poste
334,359,French,39960,agent à la sncf
335,360,French,31010,agent administratif
336,361,French,31010,agent administratif de la marine en retraite
337,362,French,60000,agent agricole
338,363,French,99999,agent air france
339,364,Catalan,19990,Agent Artístic
340,365,Catalan,44120,Agent Assegurances
341,366,French,44120,agent assureur
342,367,French,99999,agent au commissariat à l'Energie atomique
343,368,French,31090,agent au conseil de l'Europe
344,369,French,39960,agent au plm
345,370,French,39310,agent au pmu
346,371,French,30000,agent au sénat
347,372,French,59990,Agent au service des passagers
348,373,French,39960,agent aux chemins de fer
349,374,French,99999,agent aux ponts et chaussées
350,375,French,33170,agent aux ptt
351,376,French,99999,agent auxiliaire
352,377,French,31030,agent auxiliaire de contributions
353,378,French,33170,agent auxiliaire des ptt
354,379,French,39960,agent auxiliaire sncf
355,380,French,31040,agent breveté des douanes
356,381,French,99999,agent cea
357,382,French,99999,agent cge
358,383,French,22110,agent chef du personnel
359,384,French,01110,agent chimiste
360,385,French,99999,agent civil
361,386,French,99999,agent colonial
362,387,Catalan,43200,Agent Comercial
363,388,French,43120,agent commercial
364,389,French,43200*,Agent commercial
365,391,French,39310,agent commercial air france
366,392,French,31000,agent communal
367,393,French,31090,agent communautaire
368,394,French,11010,agent comptable
369,395,French,11010,agent comptable à l'équipement
370,396,French,11010,agent comptable de la marine
371,397,French,21240,Agent contracteur
372,398,French,30000,agent contractuel au ministère de la guerre
373,399,French,99999,agent contractuel technique
374,400,French,44120,agent courtier
375,401,French,31010,agent d'administration
376,402,French,12410,Agent d'affaires
377,403,French,43200,Agent d'affaires
378,404,French,44100*,Agent d'affaires
379,407,French,44130,agent d'affaires
380,408,French,99999,agent d'air france
381,409,French,31030,agent d'assiette des contributions
382,410,French,31030,agent d'assiette des contributions directes
383,411,French,31030,agent d'assiette des impôts
384,412,French,44120*,Agent d'assurances
385,417,French,44120,agent d'assurances retraité
386,418,French,44120,agent d'assurances stagiaire
387,419,French,99900,agent d'atelier
388,420,French,99999,agent d'edf
389,421,French,99999,agent d'edf en retraite
390,422,French,99900,agent d'entreprise de nettoyage
391,423,French,99900,agent d'entretien
392,424,French,99999,agent d'entretien gdf
393,425,French,99999,agent d'essai
394,426,French,31010,agent d'état
395,427,French,99999,agent d'études
396,428,French,99999,agent d'exécution
397,429,French,99999,agent d'expédition
398,430,French,99900,agent d'exploitation
399,431,French,38090,agent d'exploitation aux p et t
400,432,French,38090,agent d'exploitation aux télécommunications
401,433,French,38090,agent d'exploitation des postes
402,434,French,38090,agent d'exploitation des ptt
403,435,French,99999,agent d'exploitation rtf
404,436,French,39960,agent d'exploitation sncf
405,437,French,38090,agent d'exploitations postes et telecom
406,438,French,37040,Agent d'express
407,439,French,07210,agent d'hôpital
408,440,French,54090,agent d'hôtellerie
409,441,French,44130,Agent d'immeubles
410,442,French,92190,agent d'imprimerie
411,443,French,99900,agent d'industrie
412,444,French,99999,agent d'outillage
413,445,French,99900,agent d'usine
414,446,French,33940,agent de banque
415,447,French,39310*,Agent de bureau
416,449,French,39310,agent de bureau à l'entrepôt de l'ain
417,450,French,32140,agent de bureau dactylographe
418,451,French,31000,agent de bureau de mairie
419,452,French,31000,agent de caisse primaire d'assurance maladie
420,453,French,99999,agent de certification
421,454,French,33150,Agent de change
422,455,French,44140,agent de change
423,456,French,44190*,Agent de change
424,458,French,44140,agent de change près la bourse de lyon
425,459,French,43230,Agent de charbon
426,460,French,99999,agent de charbonnages
427,461,French,39960,agent de chemin de fer
428,462,French,58220,Agent de circulation
429,463,French,33990,Agent de collection
430,464,French,31000,agent de collectivité
431,465,French,30000,agent de collectivité locale
432,466,French,30000,agent de collectivité locale retraité
433,467,French,31090,Agent de colonisation
434,468,French,43200,Agent de commerce
435,469,French,99999,agent de compagnie
436,470,French,39960,agent de conduite sncf
437,471,French,31010,agent de constatation
438,472,French,31010,agent de constatation des douanes
439,473,French,99999,agent de contact
440,474,French,99999,agent de contrôle
441,475,French,99999,agent de coordination retraité
442,476,French,43230,Agent de distribution
443,477,French,22235,Agent de district aux chemins de fer nationaux
444,478,French,31040,Agent de douanes
445,479,French,99999,agent de fabrication
446,480,French,99999,agent de fabrique
447,481,French,99999,agent de faculté
448,482,French,33190,agent de fonds
449,483,French,39960,Agent de gare
450,484,French,99999,agent de l'éducation nationale
451,485,French,99999,agent de l'électricité
452,486,French,99999,agent de l'équipement
453,487,French,31010,agent de l'état
454,488,French,43230,Agent de l'Imperial Oil
455,489,French,31000,agent de la caisse d'épargne
456,490,French,44220,Agent de la cie Steamboat
457,491,French,30000,agent de la communauté urbaine de strasbourg
458,492,French,38030,agent de la compagnie téléphonique nevada bell
459,493,French,99999,Agent de la Maison Price
460,494,French,99999,agent de la marine
461,495,French,58220*,Agent de la paix
462,498,French,58230,agent de la police judiciaire
463,499,French,36040,agent de la ratp
464,500,French,31000,agent de la répression des fraudes
465,501,French,39960,agent de la sncf
466,502,French,58220,Agent de la sureté
467,503,French,58220,agent de la sûreté
468,504,French,58220,agent de la sûreté nationale
469,505,French,58220,Agent de la sureté provinciale
470,506,French,99999,agent de lancement
471,507,French,99999,agent de lancement air france
472,508,French,99999,agent de liaison
473,509,French,99999,agent de location
474,510,French,99900,agent de lycée
475,511,French,99900,agent de lycée retraité
476,512,French,99999,agent de maintenance
477,513,French,22610,agent de maîtrise
478,514,French,39960,agent de maîtrise sncf
479,515,French,99999,agent de marine
480,516,French,99999,agent de méthodes
481,517,French,99999,agent de mouvement
482,518,French,99999,agent de navigation aérienne
483,519,French,99900,agent de nettoyage
484,520,French,99900,agent de parc
485,521,French,39200,agent de planning
486,522,French,58220*,Agent de police
487,525,French,58220,Agent de police des liqueurs
488,526,French,58220,Agent de police spéciale
489,527,French,99999,agent de poursuites
490,528,French,30000,agent de préfecture
491,529,French,15955,agent de presse
492,530,French,99900,agent de production
493,531,French,44230,agent de promotion
494,532,French,99999,agent de prospection
495,533,French,44230*,Agent de publicité
496,536,French,39350,Agent de réclamation
497,537,French,31030,agent de recouvrement
498,538,French,31030,agent de recouvrement du trésor
499,539,French,58240,agent de renseignements
500,540,French,95160,agent de routes
501,541,French,58940,agent de sécurité
502,542,French,30000,agent de sécurité sociale
503,543,French,99900,agent de service
504,544,French,99900,agent de service hospitalier
505,545,French,55220,agent de service jeunesse et sport
506,546,French,45190,agent de station service
507,547,French,58220*,Agent de sûreté
508,549,French,58940,agent de surveillance aux ptt
509,550,French,39440,agent de tourisme
510,551,French,39960,agent de train
511,552,French,99999,agent de transit
512,553,French,99999,agent de transport
513,554,French,99999,agent de travaux
514,555,French,99900,agent de travaux aux ponts et chaussées
515,556,French,99900,agent de travaux dde
516,557,French,99999,agent de travaux en retraite
517,558,French,99999,agent de travaux publics
518,559,French,58220,agent de ville
519,560,French,95160,agent de voierie
520,561,French,39440,agent de voyage
521,562,French,39440,Agent de voyages
522,563,French,30000,agent départemental
523,564,Dutch,44220,agent der stoomboten
524,565,French,99999,agent des cadres
525,566,French,39960,agent des chemins de fer
526,567,French,39960,agent des chemins de fer retraité
527,568,French,31030,agent des contributions indirectes
528,569,French,31010,agent des douanes
529,570,French,63200,agent des eaux et forêts
530,571,French,31030,agent des impôts
531,572,French,99999,agent des lignes
532,573,French,85740,agent des lignes aux p et t
533,574,French,85740,agent des lignes aux ptt
534,575,French,85740,agent des lignes télégraphiques
535,576,French,99999,agent des méthodes
536,577,French,71100,agent des mines
537,578,French,38000,agent des p et t
538,579,French,99900,agent des ponts et chaussées
539,580,French,33170*,Agent des postes
540,582,French,38000,agent des postes et télecom
541,583,French,33190,agent des ptt
542,584,French,31090,Agent des sauvages
543,585,French,30000,agent des services administrations de radio montecarlo
544,586,French,07200,agent des services hospitaliers
545,587,French,99999,agent des techniques
546,588,French,31090,Agent des terres
547,589,French,99999,agent des travaux
548,590,French,19310,Agent du bien-être
549,591,French,39960,Agent du CNR
550,592,French,99999,agent du gaz
551,593,French,30000,agent du ministère de l'intérieur
552,594,French,31030,agent du trésor
553,595,Catalan,31040,Agent Duanes
554,596,French,99999,agent edf
555,597,French,99999,agent edf-gdf
556,598,Dutch,44120,Agent eener levensverzekering
557,599,Dutch,44120,agent eener levensverzekeringmaatschappij
558,600,Dutch,44220,agent eener postboot
559,601,Dutch,44220,agent eener reederij
560,602,French,99999,agent ega
561,603,French,85210,agent électronicien
562,604,French,31010,agent en douanes
563,605,French,85210,agent en électronique
564,606,Catalan,31090,Agent Executiu
565,607,English,43230,Agent for biscuits
566,608,French,99999,Agent forestier
567,609,French,58330,agent fourrier
568,610,French,99999,agent gdf
569,611,French,20000,agent général (des grandes brasseries adelshoffen)
570,612,French,44120*,Agent général d'assurances
571,614,French,20000,agent général d'industrie
572,615,French,43120,agent général de commerce
573,616,French,22620,agent général des charbonnages
574,617,French,31020,agent général trésorier
575,618,French,99999,agent gestionnaire
576,619,French,07200,agent hospitalier
577,620,French,07200,agent hospitalier en retraite
578,621,French,44130,agent immobilier
579,622,Dutch,44120,agent in assurantien
580,623,French,43230,Agent industriel
581,624,French,99999,agent intérimaire
582,625,French,99999,agent m
583,626,French,43230,Agent manufacturier
584,627,French,98100,agent maritime
585,628,French,99999,agent mdpa
586,629,French,43120,agent michelin
587,630,French,58300*,Agent militaire
588,632,French,58300,agent militaire principal
589,633,French,30000*,Agent municipal
590,635,Catalan,58220,Agent Municipal
591,636,French,99999,agent national
592,637,French,43230,agent négociateur
593,638,Catalan,42230,Agent negocis
594,639,French,99999,agent ortf
595,640,French,33170,agent p et t
596,641,French,58990,agent parc auto
597,642,French,31020,agent payeur
598,643,French,43120,agent péchiney
599,644,French,58930,agent pénitencier
600,645,French,33170,agent postal
601,646,French,99999,agent principal
602,647,French,44120,agent principal d'assurances
603,648,French,38090,agent principal d'exploitation ptt
604,649,French,99999,agent principal de la marine
605,650,French,30000,agent principal de mairie
606,651,French,31040,agent principal des douanes
607,652,French,99999,agent principal des installations
608,653,French,22210,agent principal gare sncf
609,654,French,99999,agent productif
610,655,French,13030,agent professeur
611,656,French,99999,agent professionnel
612,657,French,99900,agent professionnel d'atelier
613,658,French,99999,agent prospecteur
614,659,French,07120,agent psychiâtrique
615,660,French,33170,agent ptt
616,661,French,44230,agent publiciste
617,662,French,44230,agent publicitaire
618,663,Catalan,44230,Agent Publicitat
619,664,French,39960,agent ratp
620,665,French,99999,agent régional
621,666,French,43120,agent renault
622,667,French,99999,agent retraité edf
623,668,French,99999,agent routier
624,669,French,31000,agent sécurité sociale
625,670,French,39960*,Agent SNCF
626,672,French,39960,agent sncf retraité
627,673,French,99999,agent sneap
628,674,French,99999,agent société nationale
629,675,French,99999,agent spécialisé
630,676,French,99999,agent spécialisée
631,677,French,03200,agent technicien
632,678,French,03530,agent technicien d'aviation
633,679,French,99999,agent technico artistique
634,680,French,43120,agent technico-commercial
635,681,French,99999*,Agent technique
636,683,French,03530,agent technique à sudaviation
637,684,French,62105,agent technique agricole
638,685,French,03540,agent technique automobile
639,686,French,33170,agent technique aux ptt
640,687,French,43120,agent technique commercial
641,688,French,62400*,agent technique d'élevage
642,690,French,99999,agent technique d'entretien
643,691,French,99999,agent technique de contrôle
644,692,French,05490,agent technique de l'école d'agriculture
645,693,French,03530,agent technique de la circulation aérienne
646,694,French,31000,agent technique de la mairie
647,695,French,99999,agent technique de la marine
648,696,French,99999,agent technique de la marine (de 83fréjus)
649,697,French,98100,agent technique de marine
650,698,French,99999,agent technique de presse
651,699,French,95160,agent technique des autoroutes du nevada
652,700,French,63230,agent technique des eaux et forêts
653,701,French,33170,agent technique des postes
654,702,French,99999,agent technique edf
655,703,French,03405,agent technique électricien
656,704,French,03410,agent technique électronicien
657,705,French,03410,agent technique électronique
658,706,French,03410,agent technique en électronique
659,707,French,63220,agent technique forestier
660,708,French,99999,agent technique gaz paris
661,709,French,98100,agent technique marine
662,710,French,72000,agent technique métallurgiste
663,711,French,33170,agent technique p et t
664,712,French,99999,agent technique principal
665,713,French,99999,agent technique principal marine
666,714,French,33170,agent technique ptt
667,715,French,99999,agent technique retraité
668,716,French,99999,agent technique spécialisé
669,717,French,03430,agent télécom
670,718,French,08040,agent télégraphiste
671,719,French,08020,agent téléphoniste
672,720,French,99999,agent tpe
673,721,French,99999,agent transitaire
674,722,Dutch,58220,agent v. policie
675,723,Dutch,44120,agent v.assurantien
676,724,Dutch,31090,agent van 's rijks kassier
677,725,Dutch,58220,agent van policie
678,726,Dutch,58220,Agent van politie
679,727,French,43200*,Agent vendeur
680,729,French,02230,agent vicinal
681,730,Dutch,44120,agent voor de vrijwillige ouderdomsverzekering
682,731,French,43200,Agent voyageur
683,732,French,02230,agent voyer
684,733,French,02230,agent voyer dessinateur
685,734,French,02230,agent voyer en chef
686,735,French,43200,Agent-voyageur de commerce
687,736,Spanish,31040,Agente Aduana
688,737,Spanish,19990,Agente artístico
689,738,Spanish,43200,Agente Comercial
690,739,Portugese,43200,Agente de negócios
691,740,Spanish,31090,Agente Ejecutivo
692,741,Spanish,58220,Agente Municipal
693,742,Spanish,42230,Agente Negocios
694,743,Spanish,44230,Agente Publicidad
695,744,Spanish,44120,Agente Seguros
696,745,Swedish,21110,Agenturaffärsinnehaverska
697,746,Swedish,43200,Agenturchef
698,747,Norwegian,43230,Agenturforretning
699,748,Swedish,21110,Agenturinnehavare
700,749,Danish,61110,Agerbruger
701,750,Portugese,61110,Agrário
702,751,French,12410,Agréé
703,752,French,12410,Agréé au chemin de fer
704,753,French,12410,agréé au tribunal de commerce
705,754,French,13100,agrégé d'université
706,755,French,13100,Agrégée de l'université
707,756,Portugese,61110,Agrícola
708,757,French,61110*,Agriculteur
709,761,French,61110,agriculteur éleveur
710,762,French,61110,Agriculteur et Propriétaire
711,763,French,61110,Agriculteur et Soldat
712,764,French,61110,agriculteur propriétaire
713,765,French,61110,agriculteur retraité
714,766,Spanish,61110,Agricultor
715,767,Portugese,61110,Agricultor/Agricultora
716,768,French,61110*,Agricultrice
717,771,English,62105,Agricultural labourer
718,772,English,62105,Agricultural labourer and alms
719,773,English,62105,Agricultural labourer pauper
720,774,Greek,58940,AGROFYLAKS
721,775,Norwegian,05320,Agronom
722,776,Swedish,05320*,Agronom
723,778,French,05320*,Agronome
724,780,French,05390,Agronome-aviculteur
725,781,French,05320,Agronome-géographe
726,782,Swedish,05320,Agronomstuderande
727,783,Swedish,05320,Agronomänka
728,784,Spanish,31000,Aguacil
