occupation,hisco,STATUS,PRODUCT,RELATION,id,comment,title_hisco,checking_needed,RANK,SECTOR,INDUSTRY,drop,engl_descr
kantenwäscher,,,,,0,,,1,,,,0,
kantenstopfer,,,,,0,,,1,,,,0,
reinigungsfrau,55220,,,,4452,,Charworker,0,,D,1,0,
krinolinefabrik,,,,,0,,,1,,,,0,
krinolinenfabrikant,,,,,0,,,1,,,,0,
crinolinenfabrikant,,,,,0,,,1,,,,0,
schlafrockfabrikant,,,,,0,,,1,,,,,
reifrockfabrik,,Business,,,0,,,1,,,,0,
bettzeugfabrikant,,,,,0,,,1,,,,0,
sortierer,75115,,,,0,unclear,Fibre Grader and Classer,1,,B,45,0,
wagenhalter,98620,,,,0,"http://www.zeno.org/Adelung-1793/A/Wagenhalter,+der?hl=wagenhalter",Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
metalldruckwarenfabrikant,92225,,,,0,,Platen Pressman,0,,B,107,0,
metalldruckwarenfabrik,92225,Business,,,0,,Platen Pressman,0,,B,107,0,
wollwarengeschäft,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
fabrikaufseher,22610,,,,0,,"Production Supervisor or Foreman, General",0,,,,0,
auktionskommissar,44320,,,,0,,Auctioneer,0,,C,8,0,
auktionskommissarius,44320,,,,0,,Auctioneer,0,,C,8,0,
bauaufseher,22675,,,,0,,Supervisor and General Foreman (Construction Work),0,,B,96,0,
vermessungsrevisor,03010,,,,0,,"Surveyor, General",0,b,E,1,0,
technischer revisor,03010,,,,0,,"Surveyor, General",0,b,E,1,0,
siedemeister,74470,Master,,,0,coded as saltmaker,Saltmaker,0,,B,3,0,master saltmaker
bandagenfabrikant,,,,,0,,,,,,,0,
bandagenfabrik,,Business,,,0,,,,,,,0,
besenfabrikant,,,,,0,,,,,,,0,
billardpächter,41040,,1,,0,,Working Proprietor (Hiring Out),0,,C,12,0,
schürzenfabrikant,79130,,,,0,,"Tailor, Ready-to-Wear Garments",0,,B,56,0,
oberfaktor,42220,,,,0,"unclear; can denote a buyer for official or private institutions, or more generally a CEO; coded as Buyer",Buyer,1,,C,3,0,
inhaber eines asphaltgeschäfts,77105,"Owner, proprietor",,,188,,"Miner, General",0,,B,4,0,
geograph,19250,,,,0,,Geographer,0,,B,97,0,
wachstuchdrucker,92950,,,,0,,Textile Printer,0,,B,55,0,
schuhwarengeschäft,80110,Business,,,0,unclear what this refers to,"Shoe-maker, General",1,,B,91,0,
atelier für applikation,75600,Business,,,0,,"Bleacher, Dyer or Textile Product Finisher, Specialisation Unknown",1,,B,"51,52",0,
koppler,99999,,,,0,http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&mode=Vernetzung&lemid=GK17157#XGK17157; refers to what?,,1,,,,0,
bronzefabrikant,72170,,,,0,really no bz code?,"Furnaceman, Non-Ferrous Metal Converting and Refining",1,,B,17,0,
schmelzer,72320,,,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
oberschmelzer,72320,Principal,,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
metallschmelzer,72320,,,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
schmelzmeister,72320,Master,,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
schmelzerei,72320,Business,,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
schmelzereibesitzer,72320,"Owner, proprietor",,,0,,"Furnaceman, Metal-Melting, except Cupola",0,,B,2,0,
wollfabrikant,75000,,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
wollfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
wollenfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
wollarbeiter,75000,'Worker',,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
maschinenölfabrikant,74490,,,,0,,Other Still and Reactor Operators,0,,B,44,0,
wagenfettfabrik,74490,Business,,,0,,Other Still and Reactor Operators,1,,B,44,0,
wagenfettfabrikant,74490,Business,,,0,,Other Still and Reactor Operators,1,,B,44,0,
drehseidefabrikant,75440,,,,0,,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
drehseidenfabrik,75440,Business,,,0,,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
seidenmacher,75432,,,,0,,Cloth Weaver (Hand or Machine),0,,B,"48,49",0,
platzaufseher,62960,,,,0,,Groundsman,0,c,E,2,0,
platzmeister,62960,,,,0,,Groundsman,0,c,E,2,0,
bauanschläger,03320,,,,0,"unclear, could refer to multiple occupations, no bz code, http://www.zeno.org/Meyers-1905/A/Bauanschlag",Quantity Surveyor,1,,,,0,
lackkappenfabrikant,80290,,,,0,,"Other Shoe Cutters, Lasters, Sewers and Related Workers",0,,B,91,0,
kreissägenschneider,81220,,,,0,,Precision Sawyer,0,,B,64,0,
decoupierer,81220,,,,0,,Precision Sawyer,0,,B,64,0,
brenner,74920,,,,0,"could refer to various occupations, coded as Coke Burner",Coke Burner,0,,B,10,0,
brennmeister,74920,Master,,,0,"could refer to various occupations, coded as Coke Burner",Coke Burner,0,,B,10,0,
telegraphenbüro,38040,,,,0,,Telegrapher,0,b,C,10,0,
mühlendreher,83320,,,,0,unclear,Lathe Setter-Operator,1,,B,17,0,
beschlagmacher,,,,,0,,,1,,,,0,
inhaber eines wollwarengeschäfts,75000,"Owner, proprietor",,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
appreturmassenfabrikant,74100,,,,0,,"Crusher, Grinder or Mixer, Specialisation Unknown",1,,B,34,0,
porzellanschleifer,89290,,,,0,,Other Potters and Related Clay and Abrasive Formers,0,,B,12,0,
prägemeister,88090,Master,,,0,,Other Jewellery and Precious Metal Workers,0,,B,15,0,
möbelstofffabrikant,75440,,,,0,,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
möbelstofffabrik,75440,Business,,,0,,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
möbelstoffgeschäft,75440,Business,,,0,,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
anschläger,49090,,,,0,"could refer to various occupation such as mine-quarry driver, advertisment setter or doors+windows setter. Here coded as advertisment setter. http://www.zeno.org/Meyers-1905/A/Anschl%C3%A4ger?hl=anschlager",Other Sales workers,1,,C,8,0,
anschlagsspediteur,49090,,,,0,"could refer to various occupation such as mine-quarry driver, advertisment setter or doors+windows setter. Here coded as advertisment setter. http://www.zeno.org/Meyers-1905/A/Anschl%C3%A4ger?hl=anschlager",Other Sales workers,1,,C,8,0,
anschlagspediteur,49090,,,,0,"could refer to various occupation such as mine-quarry driver, advertisment setter or doors+windows setter. Here coded as advertisment setter. http://www.zeno.org/Meyers-1905/A/Anschl%C3%A4ger?hl=anschlager",Other Sales workers,1,,C,8,0,
topograph,03160,,,,0,http://www.zeno.org/Brockhaus-1911/A/Topograph?hl=topograph,Cartographical Draughtsman,0,,B,107,0,
silberschleifer,83465,,,,0,,Precision Grinding-Machine Operator,1,,B,24,0,
preßtuchfabrikant,75440,,,,0,http://www.zeno.org/Zeno/0/Suche?q=Pre%C3%9Ftuch&k=Bibliothek,"Cloth Weaver (Machine, except Jacquard Loom)",0,,B,"48,49",0,
geschäftsführer,21110,,,,0,,General Manager,0,,,,0,
geschäftsinhaber,21110,,,,0,,General Manager,0,,,,0,
prokurist,21110,,,,0,,General Manager,1,,,,0,
applikateur,75600,,,,0,probably refers to application in textile painting,"Bleacher, Dyer or Textile Product Finisher, Specialisation Unknown",1,,B,"51,52",0,
monteur,84100,,,,0,,"Machinery Fitter or Machine Assembler, Type of Machine Unknown",0,,B,26,0,
direktrice,21110,,,,0,http://www.zeno.org/Meyers-1905/A/Directrice?hl=directrice,General Manager,1,,,,0,
wärter,58940,,,,0,,Watchman,0,c,E,2,0,watchman (generic)
bankbote,37040,,,,0,,Messenger,0,,C,2,0,
börsenbote,37040,,,,0,,Messenger,0,,C,2,0,
börsendiener,55220,,,,0,,Charworker,0,,C,2,0,
börsensekretär,33940,,,,0,,Finance Clerk,0,,C,2,0,
börsenbeamter,33940,,,,0,,Finance Clerk,0,,C,2,0,
bankkassierer,33135,,,,0,,"Cashier, Office or Cash Desk",0,,C,2,0,
metallschleifer,83465,,,,0,,Precision Grinding-Machine Operator,0,,B,24,0,
stahlschleifer,83465,,,,0,,Precision Grinding-Machine Operator,0,,B,24,0,
fabrikmeister,22610,,,,0,,"Production Supervisor or Foreman, General",0,,B,110,0,
silberdrücker,88090,,,,0,what is this?,Other Jewellery and Precious Metal Workers,1,,B,15,0,
amlinfarbenfabrikant,,,,,,,,,,,,0,
vorarbeiter,22610,,,,0,,"Production Supervisor or Foreman, General",0,,B,110,0,
obervorarbeiter,22610,,,,0,,"Production Supervisor or Foreman, General",0,,B,110,0,
fabrikant für zentralheizungen,87110,,,,0,,"Pipe Fitter, General",0,,B,26,0,
anweiser,39120,,,,0,asummed to refer to a dispatching clerk,Dispatching and Receiving Clerk,1,,,,0,
kondukteur,03340,,,,0,"assumed to refer to the Bauconducteur, a low-level constructio works gov clerk",Clerk of Works,1,,,,0,
stempelpressenfabrikant,94950,,,,0,,Rubber Stamp Maker,0,,,,0,
bankvorsteher,,,,,,,,,,,,0,
maschinist,96910,,,,0,,"Stationary Engine Operator, General",0,,B,110,0,
maschinenmann,96910,,,,0,,"Stationary Engine Operator, General",0,,B,110,0,
presser,92110,,,,0,"could refer to various occupations, here coded as printing press operator","Printer, General",0,,B,107,0,
pressmeister,92110,Master,,,0,"could refer to various occupations, here coded as printing press operator","Printer, General",0,,B,107,,
pressanstalt,92110,Business,,,0,"could refer to various occupations, here coded as printing press operator","Printer, General",0,,B,107,0,
pressanstaltsbesitzer,92110,"Owner, proprietor",,,0,"could refer to various occupations, here coded as printing press operator","Printer, General",0,,B,107,0,
zeugpresser,92110,,,,0,,"Printer, General",0,,B,107,,
metalldrucker,92225,,,,0,,Platen Pressman,0,,B,107,0,
metalldruckereibesitzer,92110,"Owner, proprietor",,,0,,"Printer, General",0,,B,107,0,
zinkdrucker,92225,,,,0,,Platen Pressman,0,,B,107,0,
oberbrenner,74920,,,,0,"could refer to various occupations, coded as Coke Burner",Coke Burner,1,,B,10,0,
walzer,72200,,,,0,,"Metal Rolling-Mill Workers, Specialisation Unknown",0,,B,24,0,
bergingenieur,,,,,,,,,,,,0,
mäntelfabrikant,79140,,,,0,,Dressmaker,0,,B,86,0,
mantelfabrikant,79140,,,,0,,Dressmaker,0,,B,86,0,
mäntelfabrik,79140,Business,,,0,,Dressmaker,0,,B,86,0,
apparatführer,,,,,0,"unknown what this refers to, printing, destillation?",,1,,,,0,
obermeister,22000,,,,0,http://www.zeno.org/Pierer-1857/A/Meister+%5B1%5D,"Supervisor, Foremen or Inspector, Specialisation Unknown",0,,B,110,0,guild foreman
walzmeister,72200,Master,,,0,,"Metal Rolling-Mill Workers, Specialisation Unknown",0,,B,24,0,
baubedarfsfabrikant,,,,,,,,,,,,0,
metallpresser,83960,,,,0,http://www.zeno.org/Lueger-1904/A/Stangenpresse?hl=metallpresse,Metal-Press Operator,0,,B,17,0,
holzsetzer,73270,,,,0,http://www.zeno.org/Pierer-1857/A/Einschl%C3%A4ger,Wood Grader,0,c,A,4,0,
betriebsdirigent,21110,,,,,,General Manager,0,,B,110,0,
aufseher,58940,,,,0,generic (may refer to other occupations),Watchman,1,,B,110,0,
bandsägenschneider,81220,,,,0,,Precision Sawyer,0,,B,64,0,
oberaufseher,58940,,,,0,"coded as Watchman, may be wrong, may refer to a general class of low-level gov. clerkls",Watchman,1,,B,110,0,
anlageaufseher,62960,,,,0,,Groundsman,0,c,E,2,0,
konkursverwalter,21940,,,,0,,Administration Manager,0,,C,2,0,
konkursbüro,21940,Business,,,0,,Administration Manager,0,,C,2,0,
konkursmassenverwalter,21940,,,,0,,Administration Manager,0,,C,2,0,
gießer,72420,,,,0,"could refer to various occupations, coded as metal pourer",Metal Pourer,1,,B,17,0,"""pourer"" (generic)"
gießmeister,72420,Master,,,0,"could refer to various occupations, coded as metal pourer",Metal Pourer,1,,B,17,0,"""pourer"" (generic)"
gießereibesitzer,72420,"Owner, proprietor",,,0,"could refer to various occupations, coded as metal pourer",Metal Pourer,1,,B,17,0,"""pourer"" (generic)"
gasarbeiter,74925,,,,0,assumed to refer to a coal-to-gas worker,Coal-Gas Maker,1,,B,41,0,
oberwärter,58940,,,,0,could refer to various watchman occupations,Watchman,1,,B,110,0,
blockaussetzer,92225,,,,0,,Platen Pressman,0,,B,107,0,
zuschneider,79400,,,,0,,"Pattern Maker or Cutter, Specialisation Unknown",0,,,,0,
remisenmeister,22440,,,,0,"unclear; http://www.zeno.org/Meyers-1905/A/Remise?hl=remise; no bz code, assumed to refer to a steward",House Steward,1,a,E,2,0,
schatullendiener,54020,,,,0,,House servant,0,b,E,2,0,
tresordiener,54020,,,,0,,House servant,0,c,E,2,0,
privatwächter,58940,,,,0,,Watchman,0,,B,110,0,
wirker,75500,,,,0,,"Knitter, Specialisation Unknown",0,,B,"53,54",0,
tuchwirker,75500,,,,0,,"Knitter, Specialisation Unknown",0,,B,"53,54",0,
metallprobierer,72990,,,,0,,Other Metal Processors,0,,,,0,
stiefelfabrikant,80110,,,,0,,"Shoe-maker, General",0,,B,91,0,
stiefelfabrik,80110,Business,,,0,,"Shoe-maker, General",0,,B,91,0,
weinküfer,81930,,,,0,,Cooper,0,,B,67,0,
maschinenarbeiter,96910,,,,0,,"Stationary Engine Operator, General",0,,B,110,0,machine worker
privatbeamter,30000,,,,0,,"Clerical or Related Worker, Specialisation Unknown",0,,B,110,0,"clerk, private sector (generic)"
fabrikbeamter,30000,,,,0,,"Clerical or Related Worker, Specialisation Unknown",0,,B,110,0,"clerk, private sector (generic)"
baumwollwarenfabrikant,75000,,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
baumwollwarenfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",0,,B,"46,47",0,
baumwollfabrikant,75000,,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
baumwollfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
bandmacher,75452,,,,0,a cooper?,Lace Weaver (Hand or Machine),1,,B,56,0,
wollwarenfabrikant,75000,,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
wollwarenfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
wollenwarenfabrikant,75000,,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
wollenwarenfabrik,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
wollenwarengeschäft,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
inhaber eines schuhwarengeschäfts,80110,"Owner, proprietor",,,0,unclear what this refers to,"Shoe-maker, General",1,,B,91,0,
baumwollwarengeschäft,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
baumwollwarengeschäft en gros,75000,Business,,,0,,"Spinner, Weaver, Knitter, Dyer or Related Worker, Specialisation Unknown",1,,B,"46,47",0,
pelzwarenfabrikant,79200,,,,0,,"Fur Tailor or Related Worker, Specialisation Unknown",0,,B,89,0,
pelzwarenfabrik,79200,Business,,,0,,"Fur Tailor or Related Worker, Specialisation Unknown",0,,B,89,0,
pelzwarengeschäft,79200,Business,,,0,,"Fur Tailor or Related Worker, Specialisation Unknown",0,,B,89,0,
schminkefabrikant,74100,,,,0,,"Crusher, Grinder or Mixer, Specialisation Unknown",0,,B,34,0,
schminkefabrik,74100,Business,,,0,,"Crusher, Grinder or Mixer, Specialisation Unknown",0,,B,34,0,
kolonnenführer,22675,,,,0,"most likely a foreman in construction, but unclear",Supervisor and General Foreman (Construction Work),1,,,,0,
bahnschläger,,,,,0,,,1,,,,0,
filzarbeiter,75945,'Worker',,,0,,Fur Fibre Mixer (Machine),0,,B,89,0,
holzanweiser,22690,,,,0,http://www.enzyklo.de/Begriff/Holzanweiser; HISCO code may be inadequate,Other Production Supervisors and General Foremen,1,,,,0,
ausweiser,22690,,,,0,http://www.enzyklo.de/Begriff/Holzanweiser; HISCO code may be inadequate,Other Production Supervisors and General Foremen,1,,,,0,
schatullköllmer,,,,,4781,,,,,A,1,0,
wingertsmann,,,,,6160,,,,,A,1,0,
schäfer,,,,,4761,,,,,A,1,0,
gemüsegärtner,,,,,1764,,,,,A,1,0,
kräutereibesitzer,,"Owner, proprietor",,,3029,,,,,A,1,0,
häusler,,,,,2092,,,,,A,1,0,
spitzenspänner,,,,,5180,,,,,A,1,0,
schweizer,,,,,4990,,,,,A,1,0,
plantagenpächter,,"Lease-holder, share-cropper",,,4248,,,,,A,1,0,
landstallmeister,21230,,,,3267,,Farm Manager,0,,A,1,0,
instepächter,,"Lease-holder, share-cropper",,,2543,,,,,A,1,0,
köthner,,,,,2912,,,,,A,1,0,
ökonom,61110,"Owner, proprietor",,,3967,http://www.zeno.org/Brockhaus-1911/A/%C3%96konom?hl=okonom,General Farmer,0,,A,1,1,(independent) farmer
pfarrlandspächter,,"Lease-holder, share-cropper",,,4174,,,,,A,1,0,
hopfenbauer,,,,,2423,,,,,A,1,0,
stavenbesitzer,,"Owner, proprietor",,,5300,,,,,A,1,0,
inhaber einer gärtnerei,62700,"Owner, proprietor",,,1604,,Nursery and Garden Workers unspecified,0,,A,1,0,
gärtnereibesitzer,62700,"Owner, proprietor",,,1604,,Nursery and Garden Workers unspecified,0,,A,1,0,
viehzüchter,62420,,,,5878,might underestimate social status,Beef Cattle Farm Worker,1,,A,1,0,
erbsaß,,,,,1230,,,,,A,1,0,
probsteigutsbesitzer,,"Owner, proprietor",,,4420,,,,,A,1,0,
inste,,,,,2541,,,,,A,1,0,
kräuterer,,,,,3030,,,,,A,1,0,
vollhufner,,,,,5909,,,,,A,1,0,
häcker,,,,,2082,,,,,A,1,0,
kohlbauer,,,,,2916,,,,,A,1,0,
halbhufner,,,,,2110,,,,,A,1,0,
vollkäthner,,,,,5911,,,,,A,1,0,
kothsaß,,,,,3021,,,,,A,1,0,
kolone,,,,,2939,,,,,A,1,0,
landbauer,,,,,3221,,,,,A,1,0,
gestütsinhaber,,,,,1853,,,,,A,1,0,
meiereibesitzer,,"Owner, proprietor",,,3617,,,,,A,1,0,
ökonomiepächter,,"Lease-holder, share-cropper",,,3973,,,,,A,1,0,
vollmeier,,,,,5912,,,,,A,1,0,
molkereipächter,,"Lease-holder, share-cropper",,,3750,,,,,A,1,0,
brutanstalt,,Business,,,691,,,,,A,1,0,
erbzinsmann,,,,,1232,,,,,A,1,0,
hauswirt,,,,,2229,,,,,A,1,0,
kolonist,,,,,2941,,,,,A,1,0,
schafbockhalter,,,,,4768,,,,,A,1,0,
teilpächter,,"Lease-holder, share-cropper",,,5651,,,,,A,1,0,
gutsadministrator,,,,,2046,,,,,A,1,0,
artmann,,,,,177,,,,,A,1,0,
erdbeerzüchter,,,,,1235,,,,,A,1,0,
halbpächter,,,,,2116,,,,,A,1,0,
gutsherr,,,,,2048,,,,,A,1,0,
zeitpächter,,"Lease-holder, share-cropper",,,6237,,,,,A,1,0,
kutschner,,,,,3197,,,,,A,1,0,
rustikalbesitzer,,"Owner, proprietor",,,4687,,,,,A,1,0,
kossat,,,,,3017,,,,,A,1,0,
heuerling,,,,,2277,,,,,A,1,0,
bockhalter,,,,,583,,,,,A,1,0,
hühnerhofhalter,,,,,2445,,,,,A,1,0,
kohlgärtner,,,,,2917,,,,,A,1,0,
bullenpächter,,,,,730,,,,,A,1,0,
interimswirt,,,,,2564,,,,,A,1,0,
obergärtner,62700,Principal,,,1604,coded as a principal gardener,Nursery and Garden Workers unspecified,0,,A,1,0,
erbleihpächter,,"Lease-holder, share-cropper",,,1227,,,,,A,1,0,
landwirt,61110,,,,3271,,General Farmer,0,,A,1,0,
hengsthalter,,,,,2260,,,,,A,1,0,
hufenpächter,,"Lease-holder, share-cropper",,,2469,,,,,A,1,0,
gutsbesitzer,-1,"Owner, proprietor",,,2047,,*estate owner,0,,A,1,0,
käthner,,,,,2613,,,,,A,1,0,
erdbeerbauer,,,,,1234,,,,,A,1,0,
freisasse,,,,,1578,,,,,A,1,0,
halbhäusler,,,,,2108,,,,,A,1,0,
gutspächter,61110,"Lease-holder, share-cropper",,,2049,,,,,A,1,0,
rebmann,,,,,4496,,,,,A,1,0,
molkenbereiter,77510,"Owner, proprietor",,,3745,assumed to refer to self-employed work,"Dairy Product Processor, General",0,,A,1,0,
amtmann,21230,,,,87,https://en.wikipedia.org/wiki/Amtmann,Farm Manager,0,,A,1,1,estate manager
baumann,,,,,342,,,,,A,1,0,
lehngutspächter,,"Lease-holder, share-cropper",,,3335,,,,,A,1,0,
büdner,,,,,716,,,,,A,1,0,
gemüsebauer,,,,,1763,,,,,A,1,0,
stellenbesitzer,,"Owner, proprietor",,,5342,,,,,A,1,0,
halbmeier,,,,,2115,,,,,A,1,0,
wiedenmuthspächter,,"Lease-holder, share-cropper",,,6141,,,,,A,1,0,
scholtiseibesitzer,,"Owner, proprietor",,,4907,,,,,A,1,0,
hofgutspächter,,"Lease-holder, share-cropper",,,2301,,,,,A,1,0,
erbgutsbesitzer,,,,,1226,,,,,A,1,0,
schafzüchter,62430,,,,4774,,Sheep Farm Worker,0,,A,1,0,
heuermann,,,,,2278,,,,,A,1,0,
lehnbauer,,,,,3333,,,,,A,1,0,
landgebräucher,,,,,3244,,,,,A,1,0,
parzellist,,,,,4119,,,,,A,1,0,
hofbauer,,,,,2291,,,,,A,1,0,
brinkbesitzer,,,,,662,,,,,A,1,0,
geflügelzüchter,,,,,1723,,,,,A,1,0,
halbbüdner,,,,,2106,,,,,A,1,0,
erbleihsitzer,,"Lease-holder, share-cropper",,,1228,,,,,A,1,0,
eigenkäthner,,,,,1060,,,,,A,1,0,
kräutner,,,,,3033,,,,,A,1,0,
freihäusler,,,,,1577,,,,,A,1,0,
obster,,,,,3955,,,,,A,1,0,
kötter,,,,,2913,,,,,A,1,0,
großkossat,,,,,1992,,,,,A,1,0,
pachthäusler,,,,,4053,,,,,A,1,0,
gestütsvorsteher,21230,,,,1855,,Farm Manager,0,,A,1,0,
gestütsmeister,,,,,1854,,,,,A,1,0,
oberlandstallmeister,21230,,,,3268,,Farm Manager,0,,A,1,0,
parzellenpächter,,"Lease-holder, share-cropper",,,4118,,,,,A,1,0,
tabaksbauer,,,,,5517,,,,,A,1,0,
kleinkossat,,,,,2868,,,,,A,1,0,
kolonatbesitzer,,"Owner, proprietor",,,2937,,,,,A,1,0,
gütler,,,,,2031,,,,,A,1,0,
gärtnerei,62700,Business,,,1604,,Nursery and Garden Workers unspecified,0,,A,1,0,
lohnspänner,,,,,3441,,,,,A,1,0,
anbauer,,,,,120,,,,,A,1,0,
vorwerksbesitzer,,"Owner, proprietor",,,5930,,,,,A,1,0,
vollinste,,,,,5910,,,,,A,1,0,
stierhalter,,,,,5390,,,,,A,1,0,
weinbergsbesitzer,,"Owner, proprietor",,,6091,,,,,A,1,0,
erbzinspächter,,,,,1233,,,,,A,1,0,
pomologe,,,,,4288,,,,,A,1,0,
moorbauer,,,,,3757,,,,,A,1,0,
rebbauer,,,,,4495,,,,,A,1,0,
hofbesitzer,,"Owner, proprietor",,,2295,,,,,A,1,0,
plantagenbesitzer,,"Owner, proprietor",,,4247,,,,,A,1,0,
gestütsdirektor,,,,,1852,,,,,A,1,0,
gartengehilfe,62700,Subordinate,,,1604,coded as a subordinate gardener,Nursery and Garden Workers unspecified,0,,A,1,0,
maier,,,,,3488,,,,,A,1,0,
molkereibesitzer,77510,"Owner, proprietor",,,3746,coded as a diary processor,"Dairy Product Processor, General",0,,A,1,0,
inhaber einer molkenanstalt,77510,"Owner, proprietor",,,3746,coded as a diary processor,"Dairy Product Processor, General",0,,A,1,0,
weinbergspächter,,"Lease-holder, share-cropper",,,6092,,,,,A,1,0,
ackersmann,,,,,27,,,,,A,1,0,
bauer,61110,,,,334,,General Farmer,0,,A,1,0,
altsitzer,61110,,,Former or retired,0,a retired farmer,General Farmer,0,,A,1,0,
lehnträger,,,,,3336,,,,,A,1,0,
obstpächter,,"Lease-holder, share-cropper",,,3955,,,,,A,1,0,
obstzüchter,,,,,3961,,,,,A,1,0,
majoratsbesitzer,21230,"Owner, proprietor",,,3493,,Farm Manager,0,,A,1,0,
majoratsherr,21230,"Owner, proprietor",,,3493,,Farm Manager,0,,A,1,0,
pferdezüchter,,,,,4194,,,,,A,1,0,
lehngutsbesitzer,,"Owner, proprietor",,,3334,,,,,A,1,0,
domänenpächter,21230,"Lease-holder, share-cropper",,,973,https://de.wikipedia.org/wiki/Verwaltungslandwirt,Farm Manager,0,,A,1,0,
kleinbüdner,,,,,2862,,,,,A,1,0,
